Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../config/files/datastore_paths.yaml file
Data has been correctly loaded from ../../data/datastores/cpg950_coding_genes_original_data.json file
Key: A1BG, Methylation Islands Number: 163
Key: A1CF, Methylation Islands Number: 30
Key: A2M, Methylation Islands Number: 70
Key: A2ML1, Methylation Islands Number: 55
Key: A4GALT, Methylation Islands Number: 109
Key: A4GNT, Methylation Islands Number: 82
Key: AAAS, Methylation Islands Number: 149
Key: AACS, Methylation Islands Number: 114
Key: AADAC, Methylation Islands Number: 38
Key: AADACL2, Methylation Islands Number: 23
Key: AADACL3, Methylation Islands Number: 37
Key: AADACL4, Methylation Islands Number: 74
Key: AADAT, Methylation Islands Number: 45
Key: AAGAB, Methylation Islands Number: 58
Key: AAK1, Methylation Islands Number: 51
Key: AAMP, Methylation Islands Number: 163
Key: AANAT, Methylation Islands Number: 149
Key: AARS2, Methylation Islands Number: 139
Key: AARSD1, Methylation Islands Number: 137
Key: AASDH, Methylation Islands Number: 48
Key: AASDHPPT, Methylation Islands Number: 73
Key: AASS, Methylation Islands Number: 37
Key: AATF, Methylation Islands Number: 112
Key: AATK, Methylation Islands Number: 233
Key: ABAT, Methylation Islands Number: 105
Key: ABCA1, Methylation Islands Number: 61
Key: ABCA10, Methylation Islands Number: 24
Key: ABCA12, Methylation Islands Number: 12
Key: ABCA13, Methylation Islands Number: 19
Key: ABCA2, Methylation Islands Number: 282
Key: ABCA3, Methylation Islands Number: 84
Key: ABCA4, Methylation Islands Number: 60
Key: ABCA5, Methylation Islands Number: 35
Key: ABCA6, Methylation Islands Number: 18
Key: ABCA7, Methylation Islands Number: 262
Key: ABCA8, Methylation Islands Number: 31
Key: ABCA9, Methylation Islands Number: 26
Key: ABCB1, Methylation Islands Number: 48
Key: ABCB10, Methylation Islands Number: 77
Key: ABCB11, Methylation Islands Number: 49
Key: ABCB4, Methylation Islands Number: 36
Key: ABCB5, Methylation Islands Number: 27
Key: ABCB6, Methylation Islands Number: 236
Key: ABCB7, Methylation Islands Number: 12
Key: ABCB8, Methylation Islands Number: 318
Key: ABCB9, Methylation Islands Number: 156
Key: ABCC1, Methylation Islands Number: 70
Key: ABCC10, Methylation Islands Number: 114
Key: ABCC11, Methylation Islands Number: 73
Key: ABCC12, Methylation Islands Number: 42
Key: ABCC2, Methylation Islands Number: 69
Key: ABCC3, Methylation Islands Number: 140
Key: ABCC4, Methylation Islands Number: 49
Key: ABCC5, Methylation Islands Number: 86
Key: ABCC8, Methylation Islands Number: 103
Key: ABCC9, Methylation Islands Number: 34
Key: ABCD1, Methylation Islands Number: 157
Key: ABCD2, Methylation Islands Number: 27
Key: ABCD3, Methylation Islands Number: 34
Key: ABCD4, Methylation Islands Number: 106
Key: ABCE1, Methylation Islands Number: 51
Key: ABCF1, Methylation Islands Number: 313
Key: ABCF2, Methylation Islands Number: 182
Key: ABCF3, Methylation Islands Number: 196
Key: ABCG1, Methylation Islands Number: 113
Key: ABCG2, Methylation Islands Number: 30
Key: ABCG4, Methylation Islands Number: 225
Key: ABCG5, Methylation Islands Number: 70
Key: ABCG8, Methylation Islands Number: 70
Key: ABHD1, Methylation Islands Number: 154
Key: ABHD10, Methylation Islands Number: 78
Key: ABHD11, Methylation Islands Number: 137
Key: ABHD12, Methylation Islands Number: 72
Key: ABHD12B, Methylation Islands Number: 93
Key: ABHD13, Methylation Islands Number: 61
Key: ABHD14A, Methylation Islands Number: 155
Key: ABHD14A-ACY1, Methylation Islands Number: 155
Key: ABHD14B, Methylation Islands Number: 162
Key: ABHD15, Methylation Islands Number: 138
Key: ABHD16A, Methylation Islands Number: 676
Key: ABHD16B, Methylation Islands Number: 159
Key: ABHD2, Methylation Islands Number: 89
Key: ABHD3, Methylation Islands Number: 53
Key: ABHD4, Methylation Islands Number: 112
Key: ABHD5, Methylation Islands Number: 53
Key: ABHD6, Methylation Islands Number: 87
Key: ABHD8, Methylation Islands Number: 208
Key: ABI1, Methylation Islands Number: 40
Key: ABI2, Methylation Islands Number: 38
Key: ABI3, Methylation Islands Number: 98
Key: ABI3BP, Methylation Islands Number: 26
Key: ABL1, Methylation Islands Number: 90
Key: ABL2, Methylation Islands Number: 70
Key: ABLIM1, Methylation Islands Number: 72
Key: ABLIM2, Methylation Islands Number: 145
Key: ABLIM3, Methylation Islands Number: 57
Key: ABO, Methylation Islands Number: 75
Key: ABR, Methylation Islands Number: 163
Key: ABRA, Methylation Islands Number: 27
Key: ABT1, Methylation Islands Number: 118
Key: ABTB1, Methylation Islands Number: 113
Key: ABTB2, Methylation Islands Number: 73
Key: ACAA1, Methylation Islands Number: 86
Key: ACAA2, Methylation Islands Number: 54
Key: ACACA, Methylation Islands Number: 73
Key: ACACB, Methylation Islands Number: 108
Key: ACAD10, Methylation Islands Number: 57
Key: ACAD11, Methylation Islands Number: 77
Key: ACAD8, Methylation Islands Number: 117
Key: ACAD9, Methylation Islands Number: 68
Key: ACADL, Methylation Islands Number: 42
Key: ACADM, Methylation Islands Number: 55
Key: ACADS, Methylation Islands Number: 131
Key: ACADSB, Methylation Islands Number: 68
Key: ACADVL, Methylation Islands Number: 270
Key: ACAN, Methylation Islands Number: 65
Key: ACAP1, Methylation Islands Number: 256
Key: ACAP2, Methylation Islands Number: 35
Key: ACAP3, Methylation Islands Number: 323
Key: ACAT1, Methylation Islands Number: 46
Key: ACAT2, Methylation Islands Number: 135
Key: ACBD3, Methylation Islands Number: 75
Key: ACBD4, Methylation Islands Number: 160
Key: ACBD5, Methylation Islands Number: 44
Key: ACBD6, Methylation Islands Number: 50
Key: ACBD7, Methylation Islands Number: 78
Key: ACCS, Methylation Islands Number: 84
Key: ACD, Methylation Islands Number: 125
Key: ACE, Methylation Islands Number: 149
Key: ACE2, Methylation Islands Number: 38
Key: ACER1, Methylation Islands Number: 106
Key: ACER2, Methylation Islands Number: 45
Key: ACER3, Methylation Islands Number: 45
Key: ACHE, Methylation Islands Number: 168
Key: ACIN1, Methylation Islands Number: 178
Key: ACLY, Methylation Islands Number: 117
Key: ACMSD, Methylation Islands Number: 25
Key: ACO1, Methylation Islands Number: 27
Key: ACO2, Methylation Islands Number: 97
Key: ACOT1, Methylation Islands Number: 75
Key: ACOT11, Methylation Islands Number: 95
Key: ACOT12, Methylation Islands Number: 32
Key: ACOT13, Methylation Islands Number: 88
Key: ACOT2, Methylation Islands Number: 70
Key: ACOT4, Methylation Islands Number: 77
Key: ACOT6, Methylation Islands Number: 69
Key: ACOT7, Methylation Islands Number: 147
Key: ACOT8, Methylation Islands Number: 196
Key: ACOT9, Methylation Islands Number: 73
Key: ACOX1, Methylation Islands Number: 134
Key: ACOX2, Methylation Islands Number: 104
Key: ACOX3, Methylation Islands Number: 153
Key: ACOXL, Methylation Islands Number: 60
Key: ACP1, Methylation Islands Number: 137
Key: ACP2, Methylation Islands Number: 168
Key: ACP5, Methylation Islands Number: 131
Key: ACP6, Methylation Islands Number: 55
Key: ACR, Methylation Islands Number: 67
Key: ACRBP, Methylation Islands Number: 191
Key: ACRV1, Methylation Islands Number: 53
Key: ACSBG1, Methylation Islands Number: 114
Key: ACSBG2, Methylation Islands Number: 63
Key: ACSF2, Methylation Islands Number: 150
Key: ACSF3, Methylation Islands Number: 250
Key: ACSL1, Methylation Islands Number: 109
Key: ACSL3, Methylation Islands Number: 60
Key: ACSL4, Methylation Islands Number: 40
Key: ACSL5, Methylation Islands Number: 79
Key: ACSL6, Methylation Islands Number: 95
Key: ACSM1, Methylation Islands Number: 53
Key: ACSM2A, Methylation Islands Number: 26
Key: ACSM2B, Methylation Islands Number: 45
Key: ACSM3, Methylation Islands Number: 87
Key: ACSM5, Methylation Islands Number: 51
Key: ACSS1, Methylation Islands Number: 124
Key: ACSS2, Methylation Islands Number: 86
Key: ACSS3, Methylation Islands Number: 37
