tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
cg25630123,cg00115567,cg11606261,cg09906780,cg02808233,cg03994959
cg09191173,cg04228998,cg27401989,cg04731861,cg18639983,cg07403350
cg14761454,cg10192145,cg03437025,cg06608945,cg01221484,cg25810247
cg01991180,cg10131297,cg13510262,cg00752852,cg14545763,cg17114573
cg27453365,cg23046682,cg23598562,cg04381898,cg13468174,cg08216792
cg17420659,cg03216261,cg00495415,cg04917148,cg19344263,cg22492943
cg12106634,cg24014661,cg08962767,cg12684684,cg19594024,cg22434424
cg27599391,cg07469961,cg26652092,cg00012203,cg09150815,cg27163659
cg03569616,cg26802025,cg01599904,cg27288971,cg07764513,cg25647234
cg18042593,cg00775197,cg13075709,cg16672685,cg07777224,cg01255747
cg25918541,cg02031603,cg01212840,cg05351940,cg00840926,cg23604961
cg05637308,cg09347824,cg10133578,cg13027571,cg12195135,cg26503153
cg01800843,cg07097026,cg19711815,cg11838463,cg04608855,cg20776540
cg23389069,cg18228203,cg12499542,cg09247346,cg14192934,cg27463736
cg11588932,cg17001753,cg18715299,cg13240332,cg18475747,cg11198309
cg12019961,cg04156581,cg20910352,cg08216808,cg21037935,cg16258721
cg23275463,cg15023038,cg17088290,cg19141132,cg25985734,cg13922111
cg17114932,cg25982965,cg10063575,cg12884009,cg06853142,cg08859912
cg22678707,cg04579415,cg20406747,cg09905973,cg14248031,cg05627390
cg04826772,cg23120936,cg27360762,cg13048967,cg26929247,cg27040463
cg25740661,cg21130236,cg00589573,cg15768138,cg11569718,cg04461947
cg24568245,cg11443888,cg23344935,cg15908708,cg14300863,cg04942640
cg06081482,cg06329225,cg07223803,cg13519373,cg22920418,cg25018673
cg02105423,cg15420683,cg05492964,cg20025658,cg19041593,cg26918935
cg10976287,cg03498886,cg09415057,cg07016356,cg06830426,cg16995606
cg19288979,cg03807737,cg05677248,cg14702787,cg08216447,cg09646392
cg10610482,cg17044843,cg07989501,cg08474340,cg19223106,cg20945738
cg12848864,cg00744524,cg00054511,cg14652717,cg23002097,cg09158314
cg03165700,cg01992280,cg13863009,cg06547715,cg21948605,cg10864680
cg15504467,cg20654260,cg15117253,cg13739417,cg03559043,cg21143446
cg05033322,cg07831644,cg17739459,cg10591797,cg05333564,cg18703238
cg16693212,cg05496603,cg25971807,cg19225688,cg03718488,cg21784254
cg15370815,cg08855022,cg11252050,cg25941354,cg10402626,cg09450063
cg16788234,cg19109431,cg19787841,cg00002473,cg01623256,cg01462856
cg22837512,cg15787744,cg26516701,cg00373554,cg13719843,cg11726530
cg24030675,cg03822267,cg05768669,cg06977014,cg11701312,cg16929959
cg06053805,cg01708236,cg01273790,cg12040846,cg19378149,cg05851866
cg06750635,cg27608028,cg02765045,cg00031165,cg02875240,cg24640561
cg25400013,cg08376016,cg22219587,cg10600178,cg18775767,cg03111394
cg18391757,cg06560379,cg00147976,cg15414833,cg00869285,cg11787126
cg18457775,cg00668559,cg08959992,cg17960051,cg18538297,cg12100881
cg04709886,cg11913951,cg12811072,cg15446670,cg24469289,cg26429508
cg01756564,cg19707503,cg07280582,cg18542829,cg14307922,cg18663859
cg22477592,cg02087075,cg21610297,cg17406148,cg17740632,cg16171137
cg05231509,cg11699666,cg05131707,cg04710402,cg25366139,cg16175906
cg24027342,cg24132692,cg07151565,cg04099454,cg25617675,cg14474158
cg03092399,cg13146826,cg08802944,cg22899422,cg19819595,cg13873889
cg12139707,cg10215110,cg13423556,cg00862116,cg23533824,cg10632955
cg05471373,cg24486960,cg00755950,cg27507700,cg05983698,cg25420482
cg27627854,cg20144576,cg04661040,cg16288248,cg09364328,cg24071200
cg25019503,cg06636077,cg11676189,cg09105881,cg07061692,cg21053741
cg15035528,cg00071051,cg11232947,cg00141548,cg23478354,cg21587837
cg08403064,cg06440160,cg01272601,cg16772035,cg22309518,cg19997861
cg23980760,cg11372263,cg21174435,cg12270822,cg15166898,cg06667961
cg03105379,cg20194364,cg11223003,cg15759056,cg10642948,cg06393830
cg18265608,cg20025677,cg16062558,cg25477497,cg19776201,cg04859102
cg09339476,cg17580416,cg24925546,cg19861260,cg12042659,cg24504194
cg20240860,cg13330671,cg10313637,cg23479988,cg03735888,cg16224951
cg12867237,cg26241416,cg15906181,cg24138422,cg13877915,cg09037630
cg12287025,cg17350023,cg01850785,cg17756398,cg00547077,cg15852826
cg11200965,cg23165752,cg03186986,cg24352530,cg24366702,cg06632549
cg16963683,cg14431165,cg18643383,cg11000292,cg00868383,cg14166520
cg03856109,cg06617528,cg04694389,cg02196227,cg07878486,cg20330447
cg10598066,cg07561710,cg01604601,cg27493371,cg11618529,cg10995925
cg16512570,cg04742345,cg19289072,cg01263075,cg16929496,cg14441276
cg08632680,cg02433882,cg22059413,cg25295218,cg03043130,cg14437551
cg15894661,cg11452354,cg01977863,cg03415858,cg14745451,cg14597739
cg00452199,cg22122174,cg20632978,cg22031336,cg01023593,cg16219283
cg09920268,cg10519140,cg13534740,cg24207176,cg25809066,cg21999229
cg17479956,cg13793145,cg10963033,cg02016771,cg18787736,cg17169196
cg02699915,cg07053014,cg25949961,cg15443907,cg13576178,cg02402436
cg21061731,cg04175292,cg00492083,cg04064583,cg05500574,cg09736959
cg24612772,cg27078824,cg19651246,cg03994959,cg11952622,cg24216966
cg03022937,cg23737112,cg03656092,cg07403350,cg26874164,cg11586857
cg02620470,cg01993576,cg23791568,cg25810247,cg01436486,cg10476003
cg12640937,cg00920254,cg01972350,cg17114573,cg14676443,cg01157951
cg02050903,cg04971779,cg10616662,cg08216792,cg11415152,cg22318806
cg06536200,cg16889489,cg23788733,cg22492943,cg00825309,cg13815684
cg24662154,cg02114850,cg16466065,cg22434424,cg03333757,cg17709873
cg12189255,cg10089294,cg12143110,cg27163659,cg18786995,cg16280132
cg23240597,cg15184796,cg05853503,cg25647234,cg19649173,cg03599224
cg06013329,cg24928043,cg00731691,cg01255747,cg19862109,cg21240855
cg23350132,cg04393170,cg01633363,cg23604961,cg04824595,cg14910524
cg16317516,cg04783204,cg09142578,cg26503153,cg17139983,cg27531490
cg26139080,cg03338903,cg00555905,cg20776540,cg11806389,cg24452282
cg03393444,cg12253454,cg01249533,cg27463736,cg22822383,cg11484872
cg25783544,cg22330763,cg26717786,cg11198309,cg02891574,cg21370522
cg01558492,cg11990902,cg15665342,cg16258721,cg24465855,cg01569083
cg14886150,cg07826642,cg26245256,cg13922111,cg27223945,cg03037030
cg07483936,cg04903159,cg11689732,cg08859912,cg14122616,cg12681001
cg11928684,cg04609694,cg06136185,cg05627390,cg24124365,cg21222743
cg14178696,cg20686658,cg05569220,cg27040463,cg15747884,cg10717214
cg12123211,cg07239153,cg26729913,cg04461947,cg15820160,cg04425624
cg11031937,cg11190854,cg17459387,cg04942640,cg23473726,cg21467614
cg16479173,cg07143525,cg23768117,cg25018673,cg08693600,cg08553327
cg24251890,cg06145610,cg21105924,cg26918935,cg11765560,cg26729380
cg23844623,cg26842044,cg00321082,cg16995606,cg08703520,cg10650821
cg26365553,cg02172915,cg25854943,cg09646392,cg16198095,cg17741993
cg25885803,cg00651216,cg16046227,cg20945738,cg24694913,cg01360627
cg19126615,cg19708576,cg25986678,cg09158314,cg10383999,cg23384708
cg12195149,cg07252257,cg15614883,cg10864680,cg09437909,cg20477259
cg10443971,cg02464656,cg20887396,cg21143446,cg18759680,cg15989608
cg00347584,cg17860962,cg11451039,cg18703238,cg13653830,cg26736341
cg09548275,cg13495532,cg13484848,cg21784254,cg26978288,cg04472685
cg03732020,cg10890291,cg11190498,cg09450063,cg02808233,cg19124225
cg10082662,cg05148130,cg13618516,cg01462856,cg18639983,cg02137984
cg00554250,cg06256295,cg23334433,cg11726530,cg01221484,cg06825478
cg12613344,cg09559352,cg16732654,cg16929959,cg14545763,cg17755321
cg08690459,cg06490162,cg26783127,cg05851866,cg13468174,cg14306709
cg21203569,cg07239018,cg04813159,cg24640561,cg19344263,cg24540603
cg00536939,cg16569376,cg07971007,cg11985218,cg19594024,cg23204396
cg07298473,cg00269416,cg20558091,cg22001110,cg09150815,cg00900444
cg04959790,cg17698643,cg11684549,cg26214922,cg07764513,cg02104962
cg03790378,cg09516144,cg08373023,cg00812578,cg07777224,cg14868222
cg24909660,cg04297457,cg20287221,cg22423207,cg00840926,cg00731683
cg15223579,cg08745197,cg02271139,cg11075148,cg12195135,cg21029447
cg24353236,cg05932648,cg00591333,cg22288195,cg04608855,cg15804767
