gene_id,mean,median,gene_name,chromosome_name,genomic_strand,TSS,split
ENSG00000000003,11.298298260869569,9.67845,TSPAN6,X,-,100636692,train
ENSG00000000005,1.2699895652173916,0.1741,TNMD,X,+,100584928,train
ENSG00000000419,25.646894347826088,24.1706,DPM1,20,-,50958522,train
ENSG00000000457,5.810278695652174,5.50505,SCYL3,1,-,169893875,train
ENSG00000000460,3.157911739130435,2.8242000000000003,FIRRM,1,+,169795043,train
ENSG00000000938,6.790611739130435,6.08365,FGR,1,-,27635118,train
ENSG00000000971,30.10467608695652,26.23235,CFH,1,+,196652026,train
ENSG00000001036,13.89723086956522,13.06575,FUCA2,6,-,143511683,train
ENSG00000001084,9.983477391304348,5.52325,GCLC,6,-,53545092,train
ENSG00000001167,13.842162608695652,12.88135,NFYA,6,+,41072939,train
ENSG00000001460,1.221694782608696,1.17395,STPG1,1,-,24379823,train
ENSG00000001461,7.199020869565217,6.68845,NIPAL3,1,+,24415774,train
ENSG00000001497,3.462956086956522,3.2731,LAS1L,X,-,65534731,train
ENSG00000001561,13.73783695652174,12.9959,ENPP4,6,+,46130039,train
ENSG00000001617,3.923310434782609,3.2511,SEMA3F,3,+,50155066,train
ENSG00000001626,4.145950869565217,2.06545,CFTR,7,+,117480016,test
ENSG00000001629,18.229245217391306,17.52295,ANKIB1,7,+,92245959,train
ENSG00000001630,1.9652252173913043,1.7583000000000002,CYP51A1,7,-,92134417,train
ENSG00000001631,2.182951304347826,2.1475,KRIT1,7,-,92245867,test
ENSG00000002016,4.48550347826087,4.14135,RAD52,12,-,949633,train
ENSG00000002330,5.311321739130435,4.9877,BAD,11,-,64284642,test
ENSG00000002549,37.11928434782608,34.2916,LAP3,4,+,17577487,train
ENSG00000002586,19.442519130434786,17.9713,CD99,X,+,2691315,train
ENSG00000002587,2.737713043478261,2.0132,HS3ST1,4,-,11428870,train
ENSG00000002726,5.074909565217391,1.3057,AOC1,7,+,150824627,train
ENSG00000002745,0.439445652173913,0.29345,WNT16,7,+,121328991,train
ENSG00000002746,0.5145552173913044,0.44465,HECW1,7,+,43112613,train
ENSG00000002822,0.5317365217391304,0.4971,MAD1L1,7,-,2232900,valid
ENSG00000002834,23.835591304347822,22.7437,LASP1,17,+,38870050,train
ENSG00000002919,5.1118182608695655,4.97485,SNX11,17,+,48107749,test
ENSG00000002933,9.575899130434784,8.28415,TMEM176A,7,+,150800726,valid
ENSG00000003056,25.74392173913044,24.87415,M6PR,12,-,8949628,test
ENSG00000003096,0.7824982608695653,0.42185,KLHL13,X,-,118116777,train
ENSG00000003137,0.5709808695652174,0.4247999999999999,CYP26B1,2,-,72144053,train
ENSG00000003147,12.44589,11.8044,ICA1,7,-,8262138,train
ENSG00000003249,2.6204643478260867,2.31805,DBNDD1,16,-,90019416,train
ENSG00000003393,6.7320269565217385,6.33625,ALS2,2,-,201780889,train
ENSG00000003400,9.04152304347826,8.6186,CASP10,2,+,201183120,train
ENSG00000003402,16.076625652173913,15.1542,CFLAR,2,+,201116144,train
ENSG00000003436,20.665978260869565,14.0204,TFPI,2,-,187554428,train
ENSG00000003509,6.6388,6.49185,NDUFAF7,2,+,37231767,train
ENSG00000003756,12.970949565217392,12.5457,RBM5,3,+,50088912,train
ENSG00000003987,1.4438943478260873,0.72725,MTMR7,8,-,17413300,test
ENSG00000003989,19.05532739130435,5.73055,SLC7A2,8,+,17497078,train
ENSG00000004059,21.98915652173913,21.10835,ARF5,7,+,127588355,train
ENSG00000004139,1.0531126086956522,0.984,SARM1,17,+,28357638,train
ENSG00000004142,25.381649999999997,24.123800000000003,POLDIP2,17,-,28357455,train
ENSG00000004399,19.31605043478261,15.76505,PLXND1,3,-,129606661,train
ENSG00000004455,19.342354782608695,18.04025,AK2,1,-,33036872,train
ENSG00000004468,5.225079130434784,3.9178,CD38,4,+,15778320,train
ENSG00000004478,13.105128260869568,11.2041,FKBP4,12,+,2794961,train
ENSG00000004487,19.502272173913045,18.122300000000003,KDM1A,1,+,23019450,train
ENSG00000004534,21.03735347826087,20.3569,RBM6,3,+,49940134,valid
ENSG00000004660,1.77455,1.5119,CAMKK1,17,-,3893040,test
ENSG00000004700,12.58868695652174,11.454,RECQL,12,-,21501545,train
ENSG00000004766,5.982547826086956,5.8862000000000005,VPS50,7,+,93232366,train
ENSG00000004776,0.2882221739130435,0.1916,HSPB6,19,-,35757020,train
ENSG00000004777,0.9260843478260868,0.77285,ARHGAP33,19,+,35775531,train
ENSG00000004779,22.31140304347826,20.48985,NDUFAB1,16,-,23596298,train
ENSG00000004799,22.61553565217391,13.27385,PDK4,7,-,95596456,train
ENSG00000004809,0.1416743478260869,0.094,SLC22A16,6,-,110476596,train
ENSG00000004838,1.538170434782609,0.9913,ZMYND10,3,-,50345665,train
ENSG00000004846,0.063691304347826,0.04035,ABCB5,7,+,20647323,test
ENSG00000004848,0.5239669565217392,0.13595,ARX,X,-,25015950,train
ENSG00000004864,14.250634782608694,13.20455,SLC25A13,7,-,96322022,train
ENSG00000004866,4.631390434782609,4.21735,ST7,7,+,116953482,train
ENSG00000004897,14.38205391304348,14.22415,CDC27,17,-,47189245,train
ENSG00000004939,0.0552634782608695,0.0376,SLC4A1,17,-,44268119,train
ENSG00000004948,0.3382743478260869,0.13215,CALCR,7,-,93574721,train
ENSG00000004961,6.5303121739130425,6.27095,HCCS,X,+,11111268,train
ENSG00000004975,5.439465652173913,5.0776,DVL2,17,-,7234467,train
ENSG00000005001,7.210687391304348,6.2982,PRSS22,16,-,2858162,train
ENSG00000005007,11.611122173913044,11.245,UPF1,19,+,18831952,test
ENSG00000005020,14.13577,13.58075,SKAP2,7,-,26864568,train
ENSG00000005022,100.43405565217392,90.87535,SLC25A5,X,+,119468436,valid
ENSG00000005059,5.892646086956521,5.71055,MCUB,4,+,109560209,train
